Owner_Type,PDM_Experience_DBB,PDM_Experience_DB,PDM_Experience_PDB,PDM_Experience_CMAR,PDM_Experience_IPD,Job_Level,Project_Type,Project_Size,PDM_Selected,Project_Success,ORG_Employees,ORG_Locations,ORG_Departments,ORG_Layers,Org_Structure_DeliverySpeed,Org_Structure_Predictability,Org_Structure_Scope,Org_Structure_Flexibility,Org_Structure_ownerinvolved,Org_Structure_techcomplexity,Org_Structure_Collab,Org_Structure_Risks,Org_Structure_teamcomplexity,DIST_Athority_Dispersion,DIST_Athority_Delegation,DIST_Process_InformalCommunication,DIST_Process_InformalProcedure,Distribution_DeliverySpeed,Distribution_Predictability,Distribution_Scope,Distribution_Flexibility,Distribution_ownerinvolved,Distribution_techcomplexity,Distribution_Collab,Distribution_Risks,Distribution_teamcomplexity,STY_DataDriven,STY_Participation_Inclusion,STY_Participation_Relational,STY_Adaptive_Informal,STY_Adaptive_Changeable,STY_Authoritative_Threats,STY_Authoritative_Compliance,Style_DeliverySpeed,Style_Predictability,Style_Scope,Style_Flexibility,Style_ownerinvolved,Style_techcomplexity,Style_Collab,Style_Risks,Style_teamcomplexity,CUL_Command,CUL_Symbolic,CUL_Formal,CUL_Experimental,CUL_Learning,Culture_DeliverySpeed,Culture_Predictability,Culture_Scope,Culture_Flexibility,Culture_ownerinvolved,Culture_techcomplexity,Culture_Collab,Culture_Risks,Culture_teamcomplexity,FLEX_OpenToNewIdeas,FLEX_OpenToChanges,Flexibility_DeliverySpeed,Flexibility_Predictability,Flexibility_Scope,Flexibility_Flexibility,Flexibility_ownerinvolved,Flexibility_techcomplexity,Flexibility_Collab,Flexibility_Risks,Flexibility_teamcomplexity,RISK_Tolerance,Risk_DeliverySpeed,Risk_Predictability,Risk_Scope,Risk_Flexibility,Risk_ownerinvolved,Risk_techcomplexity,Risk_Collab,Risk_Risks,Risk_teamcomplexity,ENV_SustainedGrowth,ENV_HighriskIndustry,ENV_IndustryStability,Environment_DeliverySpeed,Environment_Predictability,Environment_Scope,Environment_Flexibility,Environment_ownerinvolved,Environment_techcomplexity,Environment_Collab,Environment_Risks,Environment_teamcomplexity
Private Sector (for profit and nonprofit),4,1,1,4,2,project management staff,new construction,greater than 125k sq ft (38k sqm),Construction Manager @ Risk - best value,very unsuccessful,4,1,8,3,4,4,4,4,5,4,3,4,4,4,2,4,4,2,3,4,2,5,4,4,3,3,4,4,4,3,4,2,2,3,3,4,4,4,3,4,4,4,2,4,3,4,4,3,4,4,4,5,5,5,4,4,5,4,2,4,3,4,5,3,4,4,3,4,4,2,5,3,4,5,3,3,3,5,2,5,5,5,2,4,5,4,3,4,NA
Public/Government Sector/Quasi-public,4,4,3,3,1,upper management,new construction,75k - 125k sq ft (23k - 38k sqm),Construction Manager @ Risk - best value,more unsuccessful,20,1,10,6,2,1,2,2,5,2,1,2,1,4,4,4,4,1,2,2,2,5,4,4,2,2,4,4,4,4,4,1,1,2,2,2,2,5,2,4,2,1,2,5,5,5,5,2,4,2,2,5,2,5,2,2,5,5,2,2,2,2,4,4,4,2,1,4,2,2,2,2,4,4,2,2,1,5,1,4,1,2,2,2,4,4,4,2,1
Private Sector (for profit and nonprofit),4,2,2,4,3,project management staff,"renovation,institutional (education, healthcare, justice, etc.)",25k - 75k sq ft (7.6k - 23k sqm),Design-Bid-Build - best value,very unsuccessful,15,2,4,4,3,4,4,3,4,3,3,1,2,4,2,4,4,2,3,3,2,4,3,4,2,3,4,2,3,3,5,3,2,2,3,3,2,3,3,2,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,NA,2,3,3,3,3,3,3,3,3,3,4,2,4,3,3,3,3,3,3,3,3,3
Public/Government Sector/Quasi-public,4,3,4,4,3,upper management,"institutional (education, healthcare, justice, etc.)",greater than 125k sq ft (38k sqm),Construction Manager @ Risk - best value,very unsuccessful,75,1,20,3,4,3,5,4,5,5,5,4,4,4,4,5,2,3,3,5,4,5,5,5,4,5,4,3,5,5,5,1,1,5,5,5,4,5,5,5,4,5,3,5,3,4,5,5,5,4,4,5,5,5,4,5,5,4,3,4,4,5,5,5,5,5,5,3,4,4,5,5,5,5,5,5,5,5,3,4,4,4,5,5,5,5,5,5,5
Public/Government Sector/Quasi-public,4,2,1,2,2,upper management,"new construction,institutional (education, healthcare, justice, etc.)",75k - 125k sq ft (23k - 38k sqm),Design-Bid-Build - low bid,very successful,20,1,6,3,2,3,2,2,5,3,2,3,4,4,4,3,4,3,4,2,4,4,3,3,2,4,4,2,4,2,4,1,3,3,3,2,3,5,3,3,2,4,2,3,4,3,4,1,2,3,4,5,3,3,2,4,2,3,1,2,3,4,5,3,3,2,4,1,1,2,3,4,5,3,3,2,2,3,3,4,1,2,3,3,5,3,3,1,3
Private Sector (for profit and nonprofit),3,3,3,4,4,project management staff,"renovation,institutional (education, healthcare, justice, etc.)",less than 25k sq ft (7.6k sqm),Construction Manager @ Risk - best value,more successful,8,2,2,4,3,4,3,4,5,3,5,4,4,3,4,3,3,5,4,3,3,5,3,5,3,4,4,4,5,4,5,1,1,4,4,3,5,5,2,5,4,4,2,4,4,5,5,4,3,3,4,4,3,5,4,5,4,4,3,4,3,5,5,4,5,4,5,4,4,4,3,4,4,3,4,4,NA,3,3,4,4,4,3,4,4,3,5,4,4
Public/Government Sector/Quasi-public,4,4,4,4,2,upper management,"new construction,institutional (education, healthcare, justice, etc.)",greater than 125k sq ft (38k sqm),Construction Manager @ Risk - best value,very unsuccessful,12,1,5,3,3,2,2,5,5,2,5,4,3,2,3,4,4,4,3,2,4,5,2,5,4,3,4,4,5,5,5,1,1,4,2,2,4,5,2,5,5,3,4,5,3,4,4,4,2,3,4,5,4,5,5,3,5,2,4,3,3,4,5,4,5,4,3,3,3,2,3,4,5,2,5,5,2,4,2,4,2,2,3,2,5,2,5,4,3
Private Sector (for profit and nonprofit),4,4,1,4,2,upper management,"institutional (education, healthcare, justice, etc.)",greater than 125k sq ft (38k sqm),Construction Manager @ Risk - best value,very successful,20,1,8,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Private Sector (for profit and nonprofit),4,4,2,4,4,project management staff,"new construction,institutional (education, healthcare, justice, etc.)",greater than 125k sq ft (38k sqm),"Other (If contract model and pricing structure not listed, please specify)",very successful,100,2,30,5,5,3,5,4,5,4,5,2,5,4,4,2,2,5,5,5,5,5,5,5,4,5,4,5,5,2,5,1,3,5,5,5,5,5,5,5,4,5,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,4,5,4,5,1,4,5,5,5,5,4,5,4,5,3,1,5,5,5,5,5,5,5,5,4,5
Public/Government Sector/Quasi-public,4,4,3,3,2,project management staff,new construction,less than 25k sq ft (7.6k sqm),Design-Bid-Build - best value,moderately successful,20,3,6,3,2,2,2,1,4,4,2,NA,NA,4,4,4,4,2,3,3,2,4,3,2,NA,NA,2,4,2,2,4,1,1,2,4,3,2,4,4,3,NA,NA,4,4,4,4,4,2,3,3,2,4,3,3,NA,NA,2,2,2,3,3,2,4,3,3,NA,NA,1,2,2,2,2,2,2,2,NA,NA,3,1,4,2,3,3,2,4,3,3,NA,NA
Public/Government Sector/Quasi-public,4,4,1,4,2,upper management,"new construction,other (please specify)",greater than 125k sq ft (38k sqm),Construction Manager @ Risk - best value,very successful,15,2,5,4,3,3,3,4,5,4,5,4,3,4,3,4,4,2,2,3,3,3,3,3,4,2,5,4,4,4,4,1,1,4,3,3,4,4,3,4,4,3,3,4,3,4,5,4,3,3,3,4,3,4,4,3,4,4,4,4,3,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,5,4,4,2,2,3,4,3,3,NA,3,2
Private Sector (for profit and nonprofit),4,4,3,4,3,project management staff,"renovation,commercial (retail, office, restaurant, hospitality, etc.)",greater than 125k sq ft (38k sqm),Design-Build - best value,very successful,25,1,3,1,4,4,5,4,5,5,5,4,5,5,4,4,2,4,5,5,4,5,5,5,4,5,4,3,4,4,4,1,1,5,5,5,4,5,5,4,4,5,4,5,5,4,5,5,5,5,4,5,5,4,4,5,5,4,5,5,5,4,5,5,4,4,5,4,5,5,5,4,5,5,4,4,5,5,1,5,5,5,5,4,5,5,4,5,5
Public/Government Sector/Quasi-public,4,4,4,4,4,upper management,new construction,greater than 125k sq ft (38k sqm),Design-Build - best value,very successful,9,2,5,4,2,3,4,3,5,5,5,3,2,4,4,4,3,4,3,3,3,4,4,4,3,2,4,3,4,4,3,3,3,3,3,3,3,4,4,4,3,3,2,4,4,3,4,2,3,3,3,4,4,4,2,4,4,3,3,3,3,3,4,4,4,3,4,2,2,3,3,3,4,3,4,2,4,4,2,4,4,4,3,4,4,4,4,3,4
Private Sector (for profit and nonprofit),4,4,1,4,3,project management staff,"new construction,renovation,residential,commercial (retail, office, restaurant, hospitality, etc.)",greater than 125k sq ft (38k sqm),Design-Bid-Build - best value,very successful,3,3,4,4,2,4,5,2,2,3,5,3,2,5,3,3,5,5,5,5,4,5,3,5,3,5,4,3,5,5,4,5,4,5,4,5,3,5,3,4,3,4,4,4,5,5,5,4,4,3,4,3,3,5,3,5,3,2,5,5,3,5,3,3,3,3,3,5,5,5,3,3,2,3,5,3,3,5,4,3,2,3,2,2,3,2,2,2,2
Public/Government Sector/Quasi-public,4,3,1,3,1,upper management,new construction,25k - 75k sq ft (7.6k - 23k sqm),Design-Build - best value,more unsuccessful,20,1,6,4,2,2,1,1,3,2,4,3,2,2,2,4,4,3,3,3,2,4,2,4,NA,NA,2,3,3,2,2,3,3,2,2,2,1,2,2,4,3,2,4,2,2,2,2,3,2,2,2,2,2,4,3,2,1,1,1,2,2,2,3,3,4,2,2,2,3,3,2,2,2,2,4,2,2,4,3,3,3,3,3,3,3,3,3,3,3
Public/Government Sector/Quasi-public,4,3,3,3,2,upper management,"new construction,infrastructure (including transportation, utilities etc.)",greater than 125k sq ft (38k sqm),Design-Build - low bid,more successful,20,9,17,3,3,3,4,4,5,5,5,3,4,4,3,4,2,4,3,4,3,4,4,4,3,4,3,4,2,3,5,4,4,4,4,4,3,4,4,3,4,4,4,4,5,2,2,3,3,3,3,4,3,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,4,4,3,3,4,4,2,3,2,2,3,4,3,4,4,4,3,3
Public/Government Sector/Quasi-public,4,4,1,4,4,upper management,"new construction,renovation",greater than 125k sq ft (38k sqm),Design-Build - best value,more successful,100,4,12,4,2,3,3,1,4,2,3,2,2,4,4,4,4,2,2,2,2,3,2,3,1,1,2,4,4,4,2,3,2,2,3,3,2,4,2,3,2,2,2,2,2,2,4,1,2,2,1,3,2,3,2,1,4,3,2,3,2,2,3,3,3,2,2,2,1,3,2,2,3,2,3,2,2,3,2,3,2,2,3,3,3,3,3,2,3
Public/Government Sector/Quasi-public,4,4,2,3,3,upper management,"new construction,renovation,institutional (education, healthcare, justice, etc.)",75k - 125k sq ft (23k - 38k sqm),Construction Manager @ Risk - best value,more successful,6,2,5,2,4,4,4,4,4,5,5,4,4,4,4,2,2,4,4,4,4,5,5,4,4,4,4,4,3,4,4,2,3,4,4,4,4,5,5,5,4,4,3,3,4,4,4,4,5,4,4,4,5,4,4,4,4,3,4,4,4,4,4,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4
Public/Government Sector/Quasi-public,4,4,2,4,2,upper management,"new construction,renovation,infrastructure (including transportation, utilities etc.)",greater than 125k sq ft (38k sqm),Design-Build - best value,very successful,10,1,5,5,4,3,3,3,5,5,4,3,4,4,4,4,4,3,3,3,3,5,5,3,3,4,3,5,4,3,4,2,1,3,3,3,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3,4,3,4,3,3,4,4,3,3,3,3,4,4,4,3,3,3,3,3,3,3,4,4,4,3,3,4,2,4,3,3,3,3,4,3,3,3,3
Public/Government Sector/Quasi-public,4,1,1,1,1,project management staff,"infrastructure (including transportation, utilities etc.)",greater than 125k sq ft (38k sqm),Design-Bid-Build - low bid,more successful,30,2,3,3,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Private Sector (for profit and nonprofit),4,4,4,2,2,project management staff,"new construction,infrastructure (including transportation, utilities etc.)",greater than 125k sq ft (38k sqm),Design-Build - low bid,very unsuccessful,3700,125,1,2,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,4,1,5,5,1,1,1,1,1,1,1,1,NA,5,1,5,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,3,5,4,1,1,1,1,1,1,1,1,1
Public/Government Sector/Quasi-public,4,3,4,3,2,project management staff,"new construction,commercial (retail, office, restaurant, hospitality, etc.),institutional (education, healthcare, justice, etc.),infrastructure (including transportation, utilities etc.)",less than 25k sq ft (7.6k sqm),Progressive Design-Build - best value,moderately successful,5,2,4,3,3,3,4,4,4,3,4,4,3,4,3,4,4,3,3,3,2,4,3,4,4,3,2,3,5,4,4,2,2,3,5,3,3,4,4,4,4,3,3,4,4,2,4,3,5,4,3,4,3,4,4,4,4,4,3,3,4,4,4,3,3,4,3,3,3,2,3,3,3,3,3,3,3,4,2,4,4,4,4,4,4,3,5,4,4
Public/Government Sector/Quasi-public,4,4,3,3,1,upper management,"new construction,renovation,infrastructure (including transportation, utilities etc.)",75k - 125k sq ft (23k - 38k sqm),Design-Bid-Build - low bid,moderately successful,20,1,3,1,2,3,3,1,5,4,2,4,3,2,4,2,2,2,2,3,2,5,4,2,4,3,2,4,4,4,3,1,2,2,2,3,2,5,4,2,NA,NA,4,4,4,4,4,2,2,3,2,5,4,2,NA,NA,5,4,2,2,3,2,5,4,2,4,3,3,2,2,3,2,5,4,2,NA,NA,5,3,3,2,2,3,2,5,4,3,NA,NA
Public/Government Sector/Quasi-public,3,3,1,2,1,project management staff,"new construction,renovation,other (please specify)",greater than 125k sq ft (38k sqm),Design-Build - best value,very successful,100,1,5,2,4,4,4,3,5,5,5,4,5,3,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,4,2,5,5,5,5,5,5,5,5,5
Private Sector (for profit and nonprofit),4,4,2,2,3,project management staff,"new construction,renovation,commercial (retail, office, restaurant, hospitality, etc.),institutional (education, healthcare, justice, etc.)",less than 25k sq ft (7.6k sqm),Design-Bid-Build - low bid,more unsuccessful,2,1,2,3,2,2,3,3,5,3,3,2,2,1,1,3,3,3,3,3,2,3,3,4,2,2,3,2,2,4,2,1,2,2,3,2,3,4,3,3,2,3,3,2,2,3,4,2,3,2,3,4,2,4,NA,NA,3,4,2,4,3,3,4,2,3,4,3,1,3,2,2,3,4,3,3,2,2,2,2,2,2,3,2,2,4,3,2,2,3
Public/Government Sector/Quasi-public,4,3,2,2,2,project management staff,"new construction,infrastructure (including transportation, utilities etc.)",greater than 125k sq ft (38k sqm),Design-Build - low bid,very successful,6,2,5,1,4,5,5,4,5,4,5,4,4,5,4,5,5,4,5,5,4,5,4,5,4,5,5,5,5,5,4,1,4,5,5,5,4,5,4,5,5,5,4,5,4,4,5,4,5,5,4,5,4,5,4,5,5,3,5,4,5,4,5,4,5,4,5,4,4,5,5,4,5,4,5,4,5,5,2,5,5,5,5,5,5,4,5,4,5
Public/Government Sector/Quasi-public,4,3,3,3,1,project management staff,new construction,less than 25k sq ft (7.6k sqm),Design-Bid-Build - best value,moderately successful,5,2,3,2,3,2,2,4,4,3,3,3,2,3,2,4,4,2,2,3,4,4,2,3,3,2,2,3,3,4,4,2,2,2,3,3,4,3,4,3,3,2,4,3,3,3,4,2,3,3,4,2,2,3,3,2,4,3,3,3,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,2,3,3,3,3,3,2,3,3,2
Private Sector (for profit and nonprofit),3,4,3,2,1,project management staff,new construction,25k - 75k sq ft (7.6k - 23k sqm),Design-Build - best value,more successful,8,2,2,2,4,3,3,5,3,3,3,4,4,4,4,4,4,4,4,3,5,5,4,5,3,3,4,4,4,4,5,2,2,4,5,5,3,4,2,4,3,3,2,4,4,5,5,3,3,3,5,5,2,5,4,3,4,3,3,4,2,4,3,2,4,2,2,2,3,2,3,3,4,3,4,3,3,4,4,3,5,4,3,5,5,3,5,3,3
Public/Government Sector/Quasi-public,4,4,2,4,1,upper management,new construction,greater than 125k sq ft (38k sqm),Design-Build - best value,moderately successful,3,1,4,3,2,3,4,4,3,2,4,3,2,5,4,3,4,2,3,3,4,4,4,4,3,2,3,4,4,4,4,4,3,4,2,3,2,4,4,4,2,2,4,2,4,3,2,3,4,3,2,4,3,2,4,4,4,2,2,2,3,2,4,4,3,2,2,2,2,3,3,2,4,3,3,4,5,4,2,4,4,3,3,4,4,3,2,2,4
Public/Government Sector/Quasi-public,4,3,3,4,3,upper management,"new construction,renovation,infrastructure (including transportation, utilities etc.)",greater than 125k sq ft (38k sqm),Construction Manager @ Risk - best value,more successful,6,1,1,3,2,2,3,3,3,3,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Private Sector (for profit and nonprofit),4,4,2,3,2,upper management,"new construction,infrastructure (including transportation, utilities etc.)",greater than 125k sq ft (38k sqm),Design-Build - best value,more unsuccessful,10,30,6,3,1,3,2,3,4,1,2,2,1,3,2,2,1,2,3,2,3,4,2,2,2,1,2,2,3,2,2,1,1,2,2,3,3,4,2,2,1,1,2,2,4,1,2,3,4,3,4,4,3,3,3,2,1,2,2,4,3,3,4,2,3,4,2,2,2,3,2,2,4,2,2,NA,NA,4,2,5,3,5,3,3,4,3,3,3,NA
Public/Government Sector/Quasi-public,4,1,1,1,1,project management staff,other (please specify),greater than 125k sq ft (38k sqm),Design-Bid-Build - best value,moderately successful,3,1,2,2,4,3,3,5,3,2,3,5,3,4,4,2,5,3,3,3,5,4,3,3,5,5,4,4,5,4,4,3,1,2,3,2,5,4,3,3,5,3,3,2,2,4,5,3,3,3,5,3,3,3,5,4,4,3,3,3,3,4,3,4,3,4,4,5,5,5,3,5,3,3,3,5,3,5,1,3,4,4,4,3,3,3,3,3,3
Public/Government Sector/Quasi-public,4,4,2,2,1,project management staff,"infrastructure (including transportation, utilities etc.)",greater than 125k sq ft (38k sqm),Design-Build - best value,very successful,5,1,10,3,4,5,5,4,5,5,5,3,5,4,5,5,5,5,4,5,4,5,5,5,3,5,4,3,5,5,4,1,1,5,4,5,5,5,5,5,3,5,3,5,3,5,5,5,4,5,5,5,5,5,3,5,5,5,5,4,5,5,5,5,5,3,5,3,3,3,5,5,5,5,5,3,5,5,1,4,5,5,5,5,5,5,5,3,5
Private Sector (for profit and nonprofit),4,4,3,4,2,project management staff,new construction,75k - 125k sq ft (23k - 38k sqm),Construction Manager @ Risk - low bid,moderately successful,6,2,4,3,2,3,3,NA,NA,NA,NA,NA,NA,3,3,4,4,4,3,3,3,2,NA,NA,NA,NA,3,4,2,4,2,2,4,3,3,2,4,2,4,2,3,2,4,2,4,3,2,3,2,3,3,4,4,2,3,2,2,4,2,2,3,4,2,4,2,3,2,2,2,4,2,3,3,4,NA,NA,NA,3,2,4,3,3,4,2,2,3,2,3,3
Public/Government Sector/Quasi-public,4,3,2,2,2,project management staff,"new construction,infrastructure (including transportation, utilities etc.)",less than 25k sq ft (7.6k sqm),Design-Build - best value,moderately successful,3,1,2,2,4,4,3,4,3,4,5,4,3,4,4,3,3,4,3,3,4,5,4,4,3,4,4,5,5,4,5,4,4,3,3,3,4,4,4,5,5,4,4,3,3,4,4,3,3,3,4,5,4,4,5,4,5,4,4,3,3,4,5,4,4,5,4,4,4,3,4,4,4,5,4,5,4,4,2,4,3,3,3,3,4,4,3,3,3
Private Sector (for profit and nonprofit),4,3,3,3,2,project management staff,"new construction,infrastructure (including transportation, utilities etc.)",greater than 125k sq ft (38k sqm),Design-Bid-Build - low bid,moderately successful,25,2,3,3,2,2,2,2,4,4,4,4,2,2,2,3,4,2,2,2,2,4,4,4,4,4,3,2,3,2,2,4,2,2,3,4,4,4,4,4,4,2,4,2,2,3,4,2,2,3,2,3,4,4,4,4,2,2,2,2,4,2,3,2,4,4,2,3,3,3,2,2,4,4,4,4,4,4,3,3,2,2,3,4,4,4,4,4,4
Public/Government Sector/Quasi-public,2,4,3,4,2,project management staff,"new construction,renovation,infrastructure (including transportation, utilities etc.)",75k - 125k sq ft (23k - 38k sqm),Progressive Design-Build - best value,very unsuccessful,30,1,3,5,2,2,3,1,2,3,2,1,2,2,4,4,4,3,2,3,1,1,3,1,1,NA,1,2,1,4,1,4,4,1,1,3,1,2,3,1,1,2,2,2,2,1,1,2,2,3,1,2,3,1,1,1,1,1,1,1,3,1,1,3,1,1,2,1,1,1,3,1,1,3,1,1,2,2,4,2,2,2,3,1,2,3,2,1,3
Private Sector (for profit and nonprofit),4,3,1,1,1,project management staff,"renovation,commercial (retail, office, restaurant, hospitality, etc.)",greater than 125k sq ft (38k sqm),Design-Build - best value,moderately successful,10,1,6,3,2,2,3,2,2,4,2,2,2,4,2,2,5,1,1,3,2,2,3,2,2,2,4,4,4,4,5,1,4,4,4,3,4,2,3,4,3,2,4,4,4,4,4,4,4,3,4,4,3,4,2,2,4,3,2,2,3,2,2,3,2,2,2,3,2,3,3,4,3,3,4,2,2,5,1,5,4,4,4,4,3,5,4,3,3
Public/Government Sector/Quasi-public,4,3,2,3,2,upper management,"new construction,renovation,residential",greater than 125k sq ft (38k sqm),Design-Build - low bid,more unsuccessful,16,1,1,3,1,1,2,1,3,1,1,1,3,3,2,2,2,1,1,3,3,2,3,1,1,2,4,3,4,4,4,5,5,1,1,2,2,2,2,1,1,2,5,3,4,4,3,1,1,1,1,2,3,1,2,2,4,1,1,1,2,2,2,2,1,2,2,1,1,1,1,3,3,2,2,2,2,1,1,4,1,1,2,3,3,3,3,2,2
Public/Government Sector/Quasi-public,4,4,2,3,1,project management staff,"infrastructure (including transportation, utilities etc.)",greater than 125k sq ft (38k sqm),Design-Build - best value,very successful,10,2,5,3,3,2,3,3,4,4,4,4,3,4,3,4,4,4,3,3,3,4,4,4,3,3,3,4,4,4,4,1,4,3,3,4,3,3,4,4,3,3,3,4,4,4,4,4,3,3,3,3,4,4,3,3,4,3,3,3,3,4,4,4,3,3,3,3,3,4,3,3,4,3,4,3,3,3,1,4,3,3,3,3,3,3,3,3,3
Public/Government Sector/Quasi-public,4,3,1,3,1,project management staff,"new construction,renovation",25k - 75k sq ft (7.6k - 23k sqm),Design-Build - best value,very unsuccessful,5,2,3,2,4,4,3,4,4,3,5,3,4,4,3,3,3,4,3,4,4,5,3,4,3,3,3,4,4,4,3,2,2,4,5,4,3,5,3,5,3,4,2,4,4,4,5,4,3,3,3,4,3,4,3,3,4,4,3,3,3,4,4,3,3,3,3,3,3,3,3,4,4,3,4,3,3,4,1,4,4,3,4,4,4,3,4,3,4
Public/Government Sector/Quasi-public,4,3,3,3,3,project management staff,"new construction,infrastructure (including transportation, utilities etc.)",less than 25k sq ft (7.6k sqm),Design-Bid-Build - low bid,moderately successful,10,2,3,3,2,2,3,2,4,NA,NA,NA,NA,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,2,3,3,2,2,2,3,2,3,3,4,4,3,4,2,2,3,2,2,3,2,2,3,3,3,2,1,2,3,4,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,2,2,2,2,3,2,3,3
Private Sector (for profit and nonprofit),4,3,3,3,2,project management staff,"new construction,renovation,infrastructure (including transportation, utilities etc.)",greater than 125k sq ft (38k sqm),Progressive Design-Build - best value,more successful,50,2,4,2,4,4,3,5,5,4,4,5,4,4,4,4,4,5,4,5,5,4,NA,NA,NA,NA,5,5,5,5,5,4,4,5,4,5,5,5,4,5,4,3,5,5,4,3,4,5,4,4,5,5,4,5,4,4,5,4,5,4,4,5,5,4,5,5,4,4,4,4,5,5,4,4,5,4,4,4,3,4,4,4,4,5,4,3,NA,NA,NA
Public/Government Sector/Quasi-public,4,4,2,4,2,project management staff,new construction,less than 25k sq ft (7.6k sqm),Design-Build - best value,very unsuccessful,20,2,3,5,3,3,2,2,4,2,1,4,2,4,2,3,3,2,1,2,2,4,2,2,3,2,4,4,3,4,2,3,3,2,1,2,2,4,3,3,2,3,4,2,2,2,2,2,2,1,2,4,3,1,3,2,3,2,4,2,3,2,3,2,3,2,3,3,3,2,3,2,3,4,3,3,3,4,2,4,3,2,4,3,2,3,3,2,4
Private Sector (for profit and nonprofit),4,4,2,1,1,project management staff,new construction,greater than 125k sq ft (38k sqm),Design-Build - low bid,very successful,10,5,5,3,3,3,2,2,4,NA,NA,NA,NA,3,2,2,3,2,2,3,3,3,NA,NA,NA,NA,4,2,2,3,3,3,3,2,2,3,2,3,NA,NA,NA,NA,4,3,3,2,3,3,3,3,3,3,3,2,4,3,2,2,2,2,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,2,2,2,2,3,3,3,3,3,3,3,3
Public/Government Sector/Quasi-public,4,4,4,2,2,project management staff,new construction,greater than 125k sq ft (38k sqm),Progressive Design-Build - low bid,more successful,20,2,5,3,5,5,NA,2,2,5,2,2,5,4,3,2,2,3,3,NA,0,3,2,3,NA,NA,3,4,3,3,2,2,4,4,4,NA,3,3,3,2,2,4,3,3,3,4,3,4,4,4,2,3,3,3,2,5,3,2,3,3,4,3,3,4,3,2,5,2,4,3,3,3,3,3,4,2,4,4,2,2,3,3,3,3,3,3,3,3,4
Public/Government Sector/Quasi-public,4,3,2,1,1,project management staff,"renovation,infrastructure (including transportation, utilities etc.)",25k - 75k sq ft (7.6k - 23k sqm),Design-Bid-Build - best value,moderately successful,8,5,6,2,4,4,4,4,5,4,4,3,NA,4,4,4,4,2,3,3,2,4,2,4,3,3,4,4,4,4,4,1,1,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,NA,NA,NA,4,4,4,3,4,4,4,4,NA,NA,NA,2,3,4,3,3,3,3,NA,NA,NA,3,3,4,2,3,3,3,3,3,NA,NA,NA
Private Sector (for profit and nonprofit),4,3,1,1,1,project management staff,"infrastructure (including transportation, utilities etc.)",greater than 125k sq ft (38k sqm),Design-Bid-Build - best value,moderately successful,15,3,4,3,4,2,2,3,4,2,1,1,3,4,4,5,3,2,3,2,2,2,3,3,2,3,2,1,1,3,2,1,2,2,2,3,2,3,2,1,1,3,4,3,2,2,1,2,2,2,3,1,2,2,1,3,2,1,2,2,2,1,1,2,2,1,3,1,2,2,2,3,1,2,3,1,3,5,5,1,1,1,1,1,3,3,1,3,3
